Team,Spiel,Nachname,Vorname,Punkte,FWVersuche,FWTreffer,2er,3er,Fouls
 TSV Essingen, 66,Jaros,Samuel,11.0,4.0,2.0,3.0,1.0,4.0
 TSV Essingen, 66,Mehajer,Jaafar,11.0,2.0,1.0,5.0,0.0,0.0
 TSV Essingen, 66,Mehajer,Zoulfikar,3.0,4.0,0.0,0.0,1.0,4.0
 TSV Essingen, 66,Müller,Peter,0.0,0.0,0.0,0.0,0.0,2.0
 TSV Essingen, 66,Penz,Julian,5.0,4.0,1.0,2.0,0.0,4.0
 TSV Essingen, 66,Rogers,Mitchell Lee,0.0,0.0,0.0,0.0,0.0,0.0
 TSV Essingen, 66,Seyum,Alexander,6.0,4.0,2.0,2.0,0.0,2.0
 TSV Essingen, 66,****,***,10.0,2.0,2.0,1.0,2.0,3.0
 TSV Essingen, 66,Zimmermann,Manfred,3.0,0.0,0.0,0.0,1.0,0.0
 SpVgg Möhringen 2, 66,Blumberg,David,8.0,0.0,0.0,4.0,0.0,4.0
 SpVgg Möhringen 2, 66,Fabian,Jascha,7.0,3.0,3.0,2.0,0.0,2.0
 SpVgg Möhringen 2, 66,Huber,Ari,21.0,12.0,8.0,5.0,1.0,1.0
 SpVgg Möhringen 2, 66,Jetter,Martin,4.0,2.0,2.0,1.0,0.0,2.0
 SpVgg Möhringen 2, 66,Nieuwenhuizen,Florian,1.0,2.0,1.0,0.0,0.0,3.0
 SpVgg Möhringen 2, 66,Pavlovits,Stefan Sasa,0.0,0.0,0.0,0.0,0.0,1.0
 SpVgg Möhringen 2, 66,Roman,Eric,2.0,0.0,0.0,1.0,0.0,2.0
 SpVgg Möhringen 2, 66,Schulz,Wilhelm,2.0,4.0,2.0,0.0,0.0,3.0
 SpVgg Möhringen 2, 66,Wiedemann,Bernd,8.0,0.0,0.0,4.0,0.0,1.0
 SpVgg Möhringen 2, 66,Wrachtrup,Maximilian,2.0,0.0,0.0,1.0,0.0,2.0
 TSV Schmiden 2, 84,Alber,Christoph,7.0,4.0,3.0,2.0,0.0,0.0
 TSV Schmiden 2, 84,Dorst,Oliver,4.0,0.0,0.0,2.0,0.0,1.0
 TSV Schmiden 2, 84,Gühring,Valentino,17.0,4.0,1.0,2.0,4.0,4.0
 TSV Schmiden 2, 84,Kunduklija,Almir,9.0,5.0,1.0,4.0,0.0,1.0
 TSV Schmiden 2, 84,Peiker,Marvin,15.0,7.0,4.0,4.0,1.0,2.0
 TSV Schmiden 2, 84,Sörös,Martin,10.0,10.0,8.0,1.0,0.0,4.0
 TSV Schmiden 2, 84,Weidner,Lorenz,14.0,4.0,2.0,6.0,0.0,2.0
 TSV Schmiden 2, 84,Wente,Eric,2.0,0.0,0.0,1.0,0.0,0.0
 SG Schorndorf, 84,Cimino,Kareem,4.0,6.0,2.0,1.0,0.0,4.0
 SG Schorndorf, 84,Gerstenhauer,Timo,0.0,0.0,0.0,0.0,0.0,0.0
 SG Schorndorf, 84,Hergül,Eray,3.0,0.0,0.0,0.0,1.0,2.0
 SG Schorndorf, 84,Hergül,Koray,0.0,0.0,0.0,0.0,0.0,0.0
 SG Schorndorf, 84,Komlenic,Dusan,2.0,1.0,0.0,1.0,0.0,4.0
 SG Schorndorf, 84,Komlenic,Krstan,12.0,0.0,0.0,0.0,4.0,2.0
 SG Schorndorf, 84,Randisi,Samuele,11.0,0.0,0.0,1.0,3.0,1.0
 SG Schorndorf, 84,****,***,5.0,8.0,3.0,1.0,0.0,1.0
 SG Schorndorf, 84,Segrt,Milan,3.0,6.0,1.0,1.0,0.0,4.0
 SG Schorndorf, 84,Weber,Ben,7.0,0.0,0.0,2.0,1.0,5.0
