"Rang","Nachname","Vorname","Mannschaft","Punkte","Spiele","Schnitt"
"122.","Weber","Lukas","Aalener Sportallianz","11","8","1.4"
"123.","****","***","SG Schorndorf","10","2","5.0"
"124.","Nhunwa Mbianga","Sylvain","Tb Ruit Deers","10","6","1.7"
"125.","Emili","Paolo","SpVgg Möhringen 2","9","2","4.5"
"126.","Nagel","Noah","TSB Schwäbisch Gmünd 2","9","3","3.0"
"127.","Rogers","Mitchell Lee","TSV Essingen","9","4","2.2"
"128.","Ücüncüoglu","Mertkan","Aalener Sportallianz","9","4","2.2"
"129.","Berkant","Kurban","Sportvg Feuerbach 3","9","11","0.8"
"130.","Ettling","Knut","ASV Aichwald","8","1","8.0"
"131.","****","***","TSB Schwäbisch Gmünd 2","8","3","2.7"
"132.","****","***","Tb Ruit Deers","8","5","1.6"
"133.","****","***","TSV Schmiden 2","7","3","2.3"
"134.","Senge","Leon","TSB Schwäbisch Gmünd 2","7","4","1.8"
"135.","Wigel","Alexander","Aalener Sportallianz","7","11","0.6"
"136.","Abadzic","Dmitar","TSV Schmiden 2","6","1","6.0"
"137.","Wente","Eric","TSV Schmiden 2","6","4","1.5"
"138.","****","***","SG Schorndorf","6","5","1.2"
"139.","Rösch","Oliver","SpVgg Möhringen 2","6","8","0.8"
"140.","Gaudio","Joel","SG Schorndorf","6","10","0.6"
"141.","Kitsakis","Ioannis","Sportvg Feuerbach 3","5","2","2.5"
"142.","Bosnajkovic","Sanjin","Sportvg Feuerbach 3","5","3","1.7"
"143.","Schneider","Alex","Sportvg Feuerbach 3","5","7","0.7"
"144.","Stefani","Rainer","Tb Ruit Deers","5","12","0.4"
"145.","Ilijic","Filip","Tb Ruit Deers","4","1","4.0"
"146.","Scavuzzo","Santiago","Tb Ruit Deers","4","1","4.0"
"147.","Emonds","Felix","ASV Aichwald","4","3","1.3"
"148.","Scharpf","Robert","Sportvg Feuerbach 3","4","10","0.4"
"149.","Gerstenhauer","Timo","SG Schorndorf","4","16","0.2"
"150.","Bold","Edgar","Aalener Sportallianz","3","1","3.0"
"151.","Mesic","Duzel","SG Schorndorf","3","2","1.5"
"152.","Baykal","Emre","SG Schorndorf","3","4","0.8"
"153.","****","***","TSB Schwäbisch Gmünd 2","3","4","0.8"
"154.","Eichel","Silas","ASV Aichwald","2","1","2.0"
"155.","****","***","Tb Ruit Deers","2","1","2.0"
"156.","Siteavu","Mihai","Tb Ruit Deers","2","1","2.0"
"157.","****","***","ASV Aichwald","2","2","1.0"
"158.","Shaqiri","Levin","TSB Schwäbisch Gmünd 2","2","2","1.0"
"159.","Kattengell","Yannick","SpVgg Möhringen 2","2","3","0.7"
"160.","Salar","Sahab","Sportvg Feuerbach 3","2","7","0.3"
"161.","Gayt","Roman","TSB Schwäbisch Gmünd 2","1","1","1.0"
